year,Action,Animation,Comedy,Drama,Horror,Romance,SciFi,Thriller
2000,9585.87,3492.26,5836.63,5795.61,975.17,2484.39,2835.13,7180.6
2001,11800.41,4466.08,5722.48,5456.27,645.54,4517.54,5986.67,8952.24
2002,12935.22,3687.83,6369.58,7569.31,1203.74,2472.42,7152.3,9231.32
2003,16573.04,5339.51,6936.53,5042.41,774.81,2360.29,7157.58,7851.79
2004,15401.51,6421.01,6859.42,7535.14,1669.93,4252.14,6259.76,6889.87
2005,12863.79,6128.69,7781.21,7960.48,1595.22,3856.45,6512.67,7573.55
2006,13637.07,8001.55,8144.3,7813.46,1239.03,2251.94,5311.97,10239.23
2007,15661.31,8018.67,8694.3,7300.81,1637.04,3131.07,9044.81,9707.8
2008,19082.2,7122.33,8838.58,10454.47,673.5,5903.45,6944.3,9889.12
2009,22035.38,9607.99,8027.57,7424.34,1330.34,4033.73,15061.73,9291.81
2010,19051.18,12235.97,8499.89,8046.18,1654.22,4106.01,10115.03,7058.3
2011,21106.46,10630.77,10573.65,6403.44,1218.17,3288.14,10825.72,10932.65
2012,26190.68,9111.57,9058.27,10461.36,1353.83,3042.12,12404.97,10026.23
2013,25632.27,11657.58,7688.94,8173.19,1970.15,1263.88,13665.19,10967.77
2014,31567.49,9722.83,9398.4,9652.6,1159.17,3322.09,14011.21,8214.96
2015,34171.33,10442.8,10456.76,9871.22,1093.91,3265.23,14004.72,13597.37
2016,34013.34,15897.03,12734.26,8843.31,1763.51,3218.23,14661.21,7428.47
2017,35424.51,12057.42,9311.76,9373.99,2912.76,2665.54,15693.04,12440.17
2018,37034.92,9486.15,9571.81,7787.2,2369.52,2682.25,16606.59,9994.34
2019,35169.86,17545.38,11333.3,13240.86,2271.99,3087.83,18031.05,10320.59
2020,6429.3,3519.46,2607.19,3264.1,563.94,414.82,3426.8,3754.27
2021,18906.53,4985.8,5166.45,5628.87,1191.83,831.91,8747.82,7202.8
2022,22973.94,6327.91,6330.79,6915.33,1426.93,758.14,10057.2,6270.13
2023,21120.57,9016.17,7777.74,8047.29,2366.45,2134.16,10766.66,10162.99
2024,14901.88,11563.79,8176.44,4122.08,2298.33,1514.71,9012.0,5264.53
